Question,answer,answer,answer,answer,correct,marks,description
"The strain energy stored in a body, when suddenly loaded, is",equal to,one-half,twice,four times,3,1,
Resilience is the,energy stored in a body when strained within elastic limits,energy stored in a body when strained upto the breaking of the specimen,maximum strain energy which-can be stored in a body,none of the above,3,1,
"When a beam is subjected to bending moment, the stress at any point is",equal to,directly proportional to,inversely proportional to,independent of,1,1,
"In a beam where shear force changes sign, the bending moment will be",zero,minimum,maximum,infinity,2,1,
The neutral axis of a transverse section of a beam passes through the centre of gravity of the section and is,in the vertical plane,in the horizontal plane,in the same plane in which the beam bends,at right angle to the plane in which the beam bends.,3,1,
"*The stress induced in a body, when suddenly loaded, is",equal to,one-half,twice,four times,2,1,
"The strain energy stored in a spring, when subjected to maximum load, without suffering permanent
distortion, is known as",impact energy,proof resilience,proof stress,modulus of resilience,1,1,
"The capacity of a strained body for doing work on the removal of the straining force, is called",strain energy,resilience,proof resilience,impact energy,1,1,
Which of the following statement is correct?,"The energy stored in a body, when strained within elastic limit is known as strain energy.",The maximum strain energy which can be stored in a body is termed as proof resilience.,The proof resilience per unit volume of a material is known as modulus of resilience.,all of the above,3,1,
"*The strain energy stored in a body due to shear stress, is
 2C t2 2C",× V,,× V,"2C tV 2C t2v
where  = Shear stress,
C = Shear modulus, and
V = Volume of the body",2,1,
A beam of uniform strength may be obtained by,keeping the width uniform and varying the depth,keeping the depth uniform and varying the width,varying the width and depth both,any one of the above,3,1,
"* If the depth is kept constant for a beam of uniform strength, then its width will vary in proportional to",M,M,M2,"M3
where M= Bending moment.",0,1,
A beam extending beyond the supports is called,simply supported beam,fixed beam,overhanging beam,cantilever beam,2,1,
A beam encastered at both the ends is called,simply supported beam,fixed beam,cantilever beam,"continuous beam
Structural Mechanics",1,1,
A beam of uniform strength has,same ‘cross-section throughout the beam,same bending stress at every section,same bending moment at every section,same shear stress at every section,1,1,
"When the shear force diagram is a parabolic curve between two points, it indicates that there is a",point load at the two points,no loading between the two points,uniformly distributed load between the two points,uniformly varying load between the two points,3,1,
A continuous beam is one which is,fixed at both ends,fixed at one end and free at the other end,supported on more than two supports,extending beyond the supports,2,1,
A concentrated load is one which,acts at a point on a beam,spreads non-uniformly over the whole length of a beam,spreads uniformly over the whole length of a beam,varies uniformly over the whole length of a beam,0,1,
"The bending moment in the centre of a simply supported beam carrying a uniformly distributed load
of w per unit length is
wl2 wl2 wl2",zero,,,2 4 8,3,1,
"A simply supported beam is loaded with w uniformly through out the length of the beam The
bending moment will be
wl2 wl2 wl wl2",,,,4 2 4 8,3,1,
"The bending moment diagram for a simply supported beam carrying a uniformly distributed load of
w per unit length, will be",a horizontal line,a vertical line,an inclined line,a parabolic curve,3,1,
"In a simply supported beam carrying a uniformly distributed load w per unit length, the point of contraflexure",lies in the center of the beam,lies at the ends of the beam,depends upon the length of beam,does not exist,3,1,
A simple supported beam carries a varying load from zero at one end and w at the other end,,,,2 3 3 2,2,1,
The bending moment on a section is maximum where shear force is,minimum,maximum,changing sign,zero,2,1,
"When a cantilever beam is loaded at its free end, the maximum compressive stress shall develop at",bottom fiber,top fiber,neutral axis,centre of gravity,0,1,
"When a load on the free end of a cantilever beam is increased, failure will occur",at the free end,"at the fixed end
2",in the middle of the beam,"at a distance from free end
3",1,1,
A simply supported beam carries varying load from zero at one end and w at the other end,,,,"27 27 27 9 3
534 A Quick Reference Book for CIVIL ENGINEERING LICENSING EXAMINATION",3,1,
"The stress at which the extension of the material takes place more quickly as compared to the
increase in load, is called",elastic limit,yield point,ultimate point,breaking point,1,1,
"When a cantilever beam is loaded with concentrated loads, the bending moment diagram will be a",horizontal straight line,vertical straight line,inclined straight line,parabolic curve,2,1,
The point of contra flexure is the point where,B.M. changes sign,B.M. is maximum,B.M. is minimum,B.M. is zero,3,1,
The shape factor of standard rolled beam section varies from,1.1 to 1.2,1.2 to 1.25,1.3 to 1.45,1.1 to 1.3,0,1,
The point of contraflexure is the point where,B.M. changes sign,B.M. is maximum,B.M. is minimum,none of the above,0,1,
"The shear force of a cantilever beam of length l carrying a uniformly distributed load of w per unit
length is",zero,,,"wl
4 2",0,1,
"The ratio of section modulus of a square section of side b and that of a circular section of diameter d is
2 3 3 ",,,,16 16 8 16,1,1,
"The shear force diagram of a cantilever beam of length/and carrying a uniformly distributed load of
w per unit length will be",aright angled triangle,an isosceles triangle,an equilateral triangle,a rectangle,0,1,
"The bending moment of a cantilever beam of length l and carrying a uniformly distributed load of w
per unit length is",zero,,,"wl
4 2",0,1,
"The shear force and bending moment are zero at the free end of a cantilever beam, if it carries a",point load at the free end,point load at the middle of its length,uniformly distributed load over the whole length,none of the above,2,1,
"The bending moment of a cantilever beam of length l and carrying a uniformly distributed load of w
per unit length is",,,wl,4 2 2,0,1,
"The moment of inertia of a triangular section (height h, base b) about its base is
bh2 b2h bh3 b3h",,,,12 12 12 12,2,1,
"The shear force of a cantilever beam of length l and carrying a gradually varying load from zero at
the free end and w per unit length at the fixed end is",zero,,,"wl
4 2",2,1,
"The bending moment of a cantilever beam of length l and carrying a gradually varying load from
zero at free end and w per unit length at the fixed end is",,wl,,"2 2 6
Structural Mechanics",3,1,
"The maximum bending moment of a simply supported beam of span/and carrying a point load W at
the centre of beam, is
Wl Wl Wl2",,,Wl,4 2 4,0,1,
The bending moment diagram for a simply supported beam loaded in its centre is,aright angled triangle,an issoscles triangle,an equilateral triangle,a rectangle,1,1,
"In a tensile test, when the material is stressed beyond elastic limit, the tensile strain",decreases slowly,increases slowly,decreases more quickly,increases more quickly,3,1,
The product of Young’s modulus (E) and moment of inertia (l) is known as,modulus of rigidity,bulk modulus,flexural rigidity,torsional rigidity,2,1,
A bar of square section of area a2 is held such that its one of its diameter is vertical,,,,4 4 3 4,1,1,
"The shear force in the center of a simply supported beam carrying a fate a uniformly distributed load
of w per unit length, is
wl2 wl2 wl",zero,,,"2 4 8
1 2",0,1,
"The ratio of the deflections of the free end of a cantilever due to an isolated load at rd and rd of
3 3
the span is
1 2 3 2",,,,7 7 7 5,1,1,
"The shear force at the ends of a simply supported beam carrying a uniformly distributed load of w
per unit length is",zero at its both ends,"wl at one end and – wl at the other end
wl wl wl2 wl2",at one end and – at the other end,"at one end and – at the other end
2 2 2 2",2,1,
"The shear force diagram for a simply supported beam carrying a uniformly distributed load of w per
unit length, consists of",one right angled triangle,two right angled triangles,one equilateral triangle,two equilateral triangles,1,1,
"The ratio of the maximum deflection of a simply supported beam with central load w and of a
cantilever of same length and with a load w at its free and is
1 1 1 1",,,,8 10 12 14,0,1,
A simply supported beam A carries a point load at its midspan,,,,3 5 2 8,1,1,
"In a simple bending theory, one of the assumptions is that the material of the beam is isotropic",normal stress remains constant in all directions,normal stress varies linearly in the material,elastic constants are same in all the directions,elastic constants varies linearly in the material,2,1,
"If the section modulus of a beam is increased, the bending stress in the beam will",not change,increase,decrease,"Remains constant
536 A Quick Reference Book for CIVIL ENGINEERING LICENSING EXAMINATION",2,1,
"If percentage reduction in area of a certain specimen made of material ‘A’ under tensile test is 60% and
‘the percentage reduction in area of a specimen with same dimensions made of material ‘B’ is 40%, then",the material A is more ductile than material B,the material B is more ductile than material A,the ductility of material A and B is equal,the material A is brittle and material B is ductile,0,1,
"A simply supported beam ‘A’ of length l, breadth b, and depth d carries a central point load W",one-fourth,one-half,double,four times,1,1,
"A simply supported beam ‘A’ of length l, breadth b and depth d carries a central load W",one-fourth,one-half,double,four times,2,1,
"The maximum deflection of a fixed beam of length l carrying a total load W uniformly distributed
over the whole length is
wl3 wl3 wl3 wl3",,,,48EI 96EI 192EI 384EI,3,1,
The maximum deflection of a fixed beam carrying a central point load lies at,fixed ends,"centre of beam
l",from fixed ends,"none of these
3",1,1,
The point of contra flexure is a point where,shear force changes sign,bending moment changes sign,shear force is maximum,bending moment is maximum,1,1,
"When shear force at a point is zero, then bending moment is",zero,minimum,maximum,infinity,2,1,
A truss containing j joints m members will be a simple truss if,m = 2j–3,j = 2m – 3,m = 3j–2,j = 3m – 2,0,1,
"When there is a sudden increase or decrease in shear force diagram between any two points, it
indicates that there is a",point load at the two points,no loading between the two points,uniformly distributed load between the two points,uniformly varying load between the two points,0,1,
If m and m are the members of two individual simple trusses of a compound truss,m = m + m,m = m + 1,m = m + m + 2,"m = m + m + 3
1 2 2 1 2 1 2",3,1,
The forces in the members of a simple trusses may be analysed by,graphical method,method of joints,method of sections,All of above,3,1,
The section modulus of a circular section about an axis through its C,,,,"
4 16 16 32",3,1,
Which of the following statement is correct?,A continuous beam has only two supports at the ends.,A uniformly distributed load spreads uniformly over the whole length of a beam.,The bending moment is maximum where shear force is maximum.,"The maximum bending moment of a simply supported beam of length / with a central point
load W is Wl/",1,1,
A rectangular beam of length l supported at its two ends carries a central point load W,at the ends,at l/3 from both ends,at the centre,none of these,2,1,
"When a beam is Subjected to a bending moment, the strain in a layer is",equal to,directly proportional to,inversely proportional to,"independent of
Structural Mechanics",1,1,
"The bending moment at a section tends to bend or deflect the beam and the internal stresses resist its
bending",compressive stress,shear stress,bending stress,elastic modulus,2,1,
"The assumption, generally, made in the theory of simple bending is that",the beam material is perfectly homogenous and isotropic,the beam material is stressed within its elastic limit,the plane sections before bending remain plane after bending,all of the above,3,1,
"If D and d are external and internal diameters of circular shaft respectively, its polar moment of
inertia is
   ",(D4 – d4),(D4 – d4),(D4 – d4),"(D4 – d4)
2 4 64 32",3,1,
"In a simple bending of beams, the stress in the beam varies",linearly,d. parabolically,hyperbolically,elliptically,0,1,
